timestamp,suit_mean_intensity,suit_intensity_std
2026-04-10 18:00:05.199,0.0,0.0
2026-04-10 18:00:15.663,0.0,0.0
2026-04-10 18:00:34.288,0.0,0.0
2026-04-10 18:00:56.528,0.0,0.0
2026-04-10 18:01:12.418,0.0,0.0
2026-04-10 18:01:20.476,0.0,0.0
2026-04-10 18:01:45.519,0.0,0.0
2026-04-10 18:02:04.145,0.0,0.0
2026-04-10 18:02:26.384,0.0,0.0
2026-04-10 18:02:42.275,0.0,0.0
2026-04-10 18:03:25.408,0.0,0.0
2026-04-10 18:03:34.182,0.0,0.0
2026-04-10 18:03:48.147,0.0,0.0
2026-04-10 18:04:04.338,0.0,0.0
2026-04-10 18:04:25.100,0.0,0.0
2026-04-10 18:04:34.770,0.0,0.0
2026-04-10 18:04:45.234,0.0,0.0
2026-04-10 18:04:54.898,0.0,0.0
2026-04-10 18:05:18.482,0.0,0.0
2026-04-10 18:05:26.988,0.0,0.0
2026-04-10 18:05:34.193,0.0,0.0
2026-04-10 18:05:41.988,0.0,0.0
2026-04-10 18:05:49.618,0.0,0.0
2026-04-10 18:05:54.953,0.0,0.0
2026-04-10 18:06:04.626,0.0,0.0
2026-04-10 18:06:47.864,0.0,0.0
2026-04-10 18:07:34.482,0.0,0.0
2026-04-10 18:08:03.576,0.0,0.0
2026-04-10 18:08:17.717,0.0,0.0
2026-04-10 18:08:25.812,0.0,0.0
2026-04-10 18:08:49.331,0.0,0.0
2026-04-10 18:09:04.340,0.0,0.0
2026-04-10 18:09:24.468,0.0,0.0
2026-04-10 18:09:47.575,0.0,0.0
2026-04-10 18:09:55.669,0.0,0.0
2026-04-10 18:10:19.188,0.0,0.0
2026-04-10 18:10:24.523,0.0,0.0
2026-04-10 18:11:03.285,0.0,0.0
2026-04-10 18:11:17.430,0.0,0.0
2026-04-10 18:12:04.531,0.0,0.0
2026-04-10 18:12:24.181,0.0,0.0
2026-04-10 18:12:33.142,0.0,0.0
2026-04-10 18:13:03.478,0.0,0.0
2026-04-10 18:13:33.910,0.0,0.0
2026-04-10 18:13:44.374,0.0,0.0
2026-04-10 18:13:54.384,0.0,0.0
2026-04-10 18:14:02.998,0.0,0.0
2026-04-10 18:14:17.144,0.0,0.0
2026-04-10 18:14:33.334,0.0,0.0
2026-04-10 18:14:54.926,0.0,0.0
2026-04-10 18:15:14.229,0.0,0.0
2026-04-10 18:15:55.917,0.0,0.0
2026-04-10 18:16:10.984,0.0,0.0
2026-04-10 18:16:18.613,0.0,0.0
2026-04-10 18:16:33.621,0.0,0.0
2026-04-10 18:16:53.749,0.0,0.0
2026-04-10 18:17:16.854,0.0,0.0
2026-04-10 18:17:40.839,0.0,0.0
2026-04-10 18:17:53.805,0.0,0.0
2026-04-10 18:18:03.479,0.0,0.0
