timestamp,velc_velocity,velc_turbulence,velc_density
2024-06-29 08:21:12.426400,384.0071177883147,678.1242950914209,703056368.0
2024-06-29 08:22:13.782635,2345.822867307747,667.6162097611784,3163081496.0
2024-06-29 08:22:13.782635,556.2041074845241,678.3108691797232,702023777.0
2024-06-29 08:23:15.138870,2347.52526588319,667.6202968265658,3162956921.0
2024-06-29 08:23:15.138870,526.1391394789044,678.2857658429128,701949813.0
2024-06-29 08:24:16.495105,2278.477444081761,667.5643931767239,3165725649.0
2024-06-29 08:24:16.495105,126.86973699145591,677.224702778006,705800531.0
2024-06-29 08:25:17.851465,2278.223027391447,667.5440164545098,3166011164.0
2024-06-29 08:25:17.851465,100.91798024759973,677.0881449427188,706125404.0
2024-06-29 08:26:19.207700,2273.608780729464,667.5364224784171,3166270834.0
2024-06-29 08:26:19.207700,59.49620567943548,676.9222705270857,706587478.0
2024-06-29 08:27:20.563925,-86.83111632502005,676.4428536559218,708420663.0
2024-06-29 08:27:20.563925,2248.7860804254865,667.523676747945,3167386040.0
2024-06-29 08:28:21.920160,2260.930251587093,667.5503064902042,3166927808.0
2024-06-29 08:28:21.920160,-21.789522997612583,676.6154786376325,707595849.0
2024-06-29 08:29:23.276395,2243.8871175031827,667.5611313319926,3169514744.0
2024-06-29 08:29:23.276395,-73.5031718481182,676.0795547988583,709356821.0
2024-06-29 08:30:24.632630,2241.30888501547,667.5913575884714,3171481186.0
2024-06-29 08:30:24.632630,-50.360136643731856,675.4292453051903,711257221.0
2024-06-29 08:31:25.988865,2226.6072553477184,667.7075818601867,3171670151.0
2024-06-29 08:31:25.988865,-89.0030017547756,674.7626853582524,713363469.0
2024-06-29 08:32:27.345100,2209.0968888531156,667.7637710194434,3172504408.0
2024-06-29 08:32:27.345100,-134.78781022666672,673.98296090691,715643791.0
2024-06-29 08:33:28.701335,-265.2683105047384,673.9080111387757,716053131.0
2024-06-29 08:33:28.701335,2187.2140787307812,667.866805932901,3170944135.0
2024-06-29 08:34:30.057695,2192.1070804582578,667.9751483404219,3168263068.0
2024-06-29 08:34:30.057695,-261.42207134322695,674.5696686227488,714372607.0
2024-06-29 08:35:31.413930,2248.411321045672,668.0124047711878,3165493952.0
2024-06-29 08:35:31.413930,17.629312620845848,675.8171468970618,710026596.0
2024-06-29 08:36:32.770165,2248.6716778529535,667.9994441846526,3165131508.0
2024-06-29 08:36:32.770165,-9.656334279979818,675.899123232724,709814827.0
2024-06-29 08:37:34.126400,2287.682720146287,668.0244813499932,3163578472.0
2024-06-29 08:37:34.126400,169.5126225352439,676.407453020322,707992311.0
2024-06-29 08:38:35.482635,2274.8672424226725,668.0372641155819,3163425688.0
2024-06-29 08:38:35.482635,79.66813468898135,676.182749536515,708797582.0
2024-06-29 08:39:36.838860,254.01627672511012,676.507947533937,707561031.0
2024-06-29 08:39:36.838860,2310.2923795443608,668.1082161391765,3162047185.0
2024-06-29 08:40:38.195095,2337.4232699933837,668.1539769648135,3161051436.0
2024-06-29 08:40:38.195095,381.44847768124396,676.6819944965839,706760029.0
2024-06-29 08:41:39.551455,2289.739769921715,668.0887532907193,3163354766.0
2024-06-29 08:41:39.551455,113.9767003284809,675.5610996785749,710551322.0
2024-06-29 08:42:40.907690,2321.407193678008,667.9656380251199,3166490796.0
2024-06-29 08:42:40.907690,345.62849732966623,675.1154373953336,711320739.0
2024-06-29 08:43:42.263925,2322.636695644552,667.8535683155359,3169308075.0
2024-06-29 08:43:42.263925,393.48377064248086,674.5524070047326,712788013.0
2024-06-29 08:44:43.620160,475.775769850132,674.4566602642085,712866148.0
2024-06-29 08:44:43.620160,2333.080120399884,667.7772626280648,3170688154.0
2024-06-29 08:45:44.976395,399.12243147457093,673.5383250522569,715611778.0
2024-06-29 08:45:44.976395,2315.421309336618,667.6091290195067,3174119205.0
2024-06-29 08:46:46.332630,2351.22166894131,667.8051247275936,3167974744.0
2024-06-29 08:46:46.332630,532.1801965086884,675.7301989388991,709081514.0
2024-06-29 08:47:47.688865,2325.9893303935996,667.7998369352091,3167268513.0
2024-06-29 08:47:47.688865,358.98348948390117,675.9734693130335,708906477.0
2024-06-29 08:48:49.045100,2345.017401427566,667.7910121516072,3166435903.0
2024-06-29 08:48:49.045100,450.55119184016945,676.4955177131835,707253851.0
2024-06-29 08:49:50.401460,2340.9458571233636,667.7840800548734,3165285793.0
2024-06-29 08:49:50.401460,412.07758393233644,676.9543021959721,705947414.0
2024-06-29 08:50:51.757685,2342.043170932373,667.7813694014707,3164563916.0
2024-06-29 08:50:51.757685,413.86907204852383,677.1793795749161,705192260.0
2024-06-29 08:51:53.113920,503.0772622255681,677.5905699970303,704023041.0
2024-06-29 08:51:53.113920,2357.948927470378,667.8792740365188,3162657632.0
2024-06-29 08:52:54.470155,2322.7487379060353,667.9518564490112,3161446501.0
2024-06-29 08:52:54.470155,328.38357536570953,677.4942038397268,704626319.0
2024-06-29 08:53:55.826390,2312.723582538196,668.0159373736435,3160318057.0
2024-06-29 08:53:55.826390,302.1097398798344,677.6505558972837,704303104.0
2024-06-29 08:54:57.182625,2319.420387751105,668.0930838255001,3159674977.0
2024-06-29 08:54:57.182625,363.8187203342165,677.7778557162853,703945274.0
2024-06-29 08:55:58.538860,2243.883525660667,667.950737600131,3163803613.0
2024-06-29 08:55:58.538860,-19.373567553610336,676.3281531450655,708747398.0
2024-06-29 08:56:59.895220,-30.491151236946006,675.5484346363205,711054908.0
2024-06-29 08:56:59.895220,2232.110678976386,667.8098360021991,3168131389.0
2024-06-29 08:58:01.251455,0.912708681166714,674.9440582368153,712829237.0
2024-06-29 08:58:01.251455,2228.693216308254,667.6830496196984,3171690977.0
2024-06-29 08:59:02.607690,2236.5983904066534,667.5609811664257,3174769955.0
2024-06-29 08:59:02.607690,91.13350647799743,674.2206540921584,714434191.0
2024-06-29 11:00:43.999340,2230.515021032905,667.7736696506016,3169676460.0
2024-06-29 11:00:43.999340,-67.50127848999345,674.5490246127032,713791509.0
2024-06-29 11:01:45.355840,2229.344759762223,667.7163127963715,3171023208.0
2024-06-29 11:01:45.355840,-35.58771299662776,674.5504584474114,713715764.0
2024-06-29 11:02:46.712340,2174.959919589059,667.6117179118907,3173972173.0
2024-06-29 11:02:46.712340,-301.8014084913621,673.655481657163,716951929.0
2024-06-29 11:03:48.068840,2244.54230293636,667.7625836170478,3167998856.0
2024-06-29 11:03:48.068840,20.074794820671286,675.8415858394683,710042657.0
2024-06-29 11:04:49.425340,-264.3343473517987,675.5157467505976,711287311.0
2024-06-29 11:04:49.425340,2198.259718380648,667.7192976482254,3167692090.0
2024-06-29 11:05:50.781840,2198.3049008260464,667.7089333474951,3166899344.0
2024-06-29 11:05:50.781840,-288.6393093250739,675.7234716391683,710970879.0
2024-06-29 11:06:52.138340,2204.8385585273063,667.6983731165473,3166546861.0
2024-06-29 11:06:52.138340,-278.9281911810952,675.7796200386609,710746259.0
2024-06-29 11:07:53.494840,2190.4647593670643,667.6445607241401,3166459700.0
2024-06-29 11:07:53.494840,-379.98014610673124,675.5408245963877,711579931.0
2024-06-29 11:08:54.851340,2204.1076939086624,667.6124389848052,3165796590.0
2024-06-29 11:08:54.851340,-326.6440594932099,675.7542411172857,710789079.0
2024-06-29 11:09:56.207715,2149.5634836083505,667.5296455939778,3168627577.0
2024-06-29 11:09:56.207715,-637.2319513086535,674.5380261685772,714901535.0
2024-06-29 11:10:57.564340,-701.4231096972103,674.1693091020206,716134662.0
2024-06-29 11:10:57.564340,2140.5289312211576,667.4793932618535,3169786830.0
2024-06-29 11:11:58.920755,2167.531341152761,667.5101951982787,3170743634.0
2024-06-29 11:11:58.920755,-515.8705926163723,674.6893590924462,714347273.0
2024-06-29 11:13:00.277115,2151.8384193280763,667.4532580911825,3173987212.0
2024-06-29 11:13:00.277115,-567.5789173141475,673.9439752368324,716830906.0
2024-06-29 11:14:01.633340,2157.73848632802,667.5305799521058,3174025473.0
2024-06-29 11:14:01.633340,-505.6785509249921,673.8039031892841,717130799.0
2024-06-29 11:15:02.989575,2097.3546778627033,667.521280427256,3176256262.0
2024-06-29 11:15:02.989575,-780.6414498408744,672.521602395911,721341066.0
2024-06-29 11:16:04.345810,2105.9244659608667,667.6094580217194,3175067124.0
2024-06-29 11:16:04.345810,-699.8667972702794,672.8580695350392,720233279.0
2024-06-29 11:17:05.702045,-728.1305722176063,673.5808244640452,718204256.0
2024-06-29 11:17:05.702045,2106.053197640923,667.7020843415372,3171720638.0
2024-06-29 11:18:07.058280,2138.190290247045,667.815945715798,3168484013.0
2024-06-29 11:18:07.058280,-569.3769248723238,674.5458496581763,715016126.0
2024-06-29 11:19:08.414515,2138.2118354525555,667.7857847684031,3168458816.0
